,"LATITUDE",,"LONGITUDE",,"10,2141871858","22,6078228947","16,9398861703","15,8754718179","697,2426572412","343,17573225"
"{ lat: ","36,98333",", lng:","7,55","},",,,,,"697,8543393088","338,8980148519"
"{ lat: ","36,63112",", lng:","4,19864","},",,,,,"693,8594925218","325,2638543185"
"{ lat: ","36,5554",", lng:","4,57275","},",,,,,"668,8230173505","264,4742044279"
"{ lat: ","36,0758",", lng:","6,34516","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"704,2820470232","382,8225994985"
"{ lat: ","36,7525",", lng:","3,04197","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"703,8691714042","332,5372129345"
"{ lat: ","36,74472",", lng:","4,37222","},",,,,,"704,2820470232","382,8225994985"
"{ lat: ","36,7525",", lng:","3,04197","},",,,,,"704,2820470232","382,8225994985"
"{ lat: ","36,7525",", lng:","3,04197","},",,,,,"586,5562222791","307,9327565539"
"{ lat: ","34,43311",", lng:","5,05981","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"695,3316927545","330,9180436397"
"{ lat: ","36,58333",", lng:","4,41667","},",,,,,"678,7751085934","394,3331301187"
"{ lat: ","36,2675",", lng:","2,75","},",,,,,"688,7114674628","326,6290961269"
"{ lat: ","36,4575",", lng:","4,53494","},",,,,,"634,0431173673","504,816546413"
"{ lat: ","35,3944",", lng:","0,1397","},",,,,,"707,8985421997","326,717297749"
"{ lat: ","36,82055",", lng:","4,5325","},",,,,,"704,2820470232","382,8225994985"
"{ lat: ","36,7525",", lng:","3,04197","},",,,,,"704,2820470232","382,8225994985"
"{ lat: ","36,7525",", lng:","3,04197","},",,,,,"697,2426572412","343,17573225"
"{ lat: ","36,61954",", lng:","4,08282","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"692,785187199","352,4714453013"
"{ lat: ","36,535",", lng:","3,8336","},",,,,,"689,1928539087","335,7870398493"
"{ lat: ","36,46667",", lng:","4,28333","},",,,,,"683,1805539108","331,1381931922"
"{ lat: ","36,35191",", lng:","4,41062","},",,,,,"649,0730865412","540,5403148329"
"{ lat: ","35,6911",", lng:","-0,6417","},",,,,,"705,0194742853","365,9818801789"
"{ lat: ","36,76639",", lng:","3,47717","},",,,,,"717,7905171848","257,1315803385"
"{ lat: ","37,0058",", lng:","6,5725","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"597,9253829276","374,725307224"
"{ lat: ","34,6667",", lng:","3,25","},",,,,,"649,0730865412","540,5403148329"
"{ lat: ","35,6911",", lng:","-0,6417","},",,,,,"704,1493617091","307,1089026882"
"{ lat: ","36,75",", lng:","5,0833","},",,,,,"684,6497602266","349,9302575167"
"{ lat: ","36,38",", lng:","3,9014","},",,,,,"683,867625926","334,2118855716"
"{ lat: ","36,36505",", lng:","4,32636","},",,,,,"686,9600539252","345,5699896636"
"{ lat: ","36,42411",", lng:","4,01831","},",,,,,"556,2905661055","389,7735278821"
"{ lat: ","33,8",", lng:","2,86514","},",,,,,"689,2075553775","396,7232540823"
"{ lat: ","36,46695",", lng:","2,68991","},",,,,,"683,0786205943","335,5898972501"
"{ lat: ","36,34996",", lng:","4,28871","},",,,,,"651,6947551385","486,1417715543"
"{ lat: ","35,7425",", lng:","0,5592","},",,,,,"696,7003967673","321,0035842924"
"{ lat: ","36,60927",", lng:","4,69125","},",,,,,"694,4533504716","301,2940156451"
"{ lat: ","36,56667",", lng:","5,25","},",,,,,"685,0067084258","331,5663297019"
"{ lat: ","36,38682",", lng:","4,39886","},",,,,,"634,5352341786","209,7762011752"
"{ lat: ","35,40417",", lng:","8,12417","},",,,,,"699,7338470344","304,1938142976"
"{ lat: ","36,66667",", lng:","5,16667","},",,,,,"677,6500720399","257,3047909857"
"{ lat: ","36,2459",", lng:","6,5671","},",,,,,"606,7853203035","592,2614793115"
"{ lat: ","34,8472",", lng:","-1,7286","},",,,,,"688,7114674628","326,6290961269"
"{ lat: ","36,4575",", lng:","4,53494","},",,,,,"683,8650108422","255,7799799262"
"{ lat: ","36,365",", lng:","6,6147","},",,,,,"681,8163237576","340,6801514097"
"{ lat: ","36,3258",", lng:","4,1503","},",,,,,"700,4085479087","315,144968159"
"{ lat: ","36,67942",", lng:","4,8555","},",,,,,"700,6139331697","335,7881393197"
"{ lat: ","36,6833",", lng:","4,2833","},",,,,,"696,7003967673","321,0035842924"
"{ lat: ","36,60927",", lng:","4,69125","},",,,,,"697,6134376751","298,3891031306"
"{ lat: ","36,62656",", lng:","5,33388","},",,,,,"633,1067594106","453,4652231636"
"{ lat: ","35,3758",", lng:","1,3131","},",,,,,"699,7338470344","304,1938142976"
"{ lat: ","36,66667",", lng:","5,16667","},",,,,,"496,253715944","358,5097195424"
"{ lat: ","32,49094",", lng:","3,67347","},",,,,,"623,9860522788","540,5263652092"
"{ lat: ","35,1939",", lng:","-0,6414","},",,,,,"706,4008648316","382,4235601394"
"{ lat: ","36,79239",", lng:","3,05217","},",,,,,"681,8163237576","340,6801514097"
"{ lat: ","36,3258",", lng:","4,1503","},",,,,,"700,6139331697","335,7881393197"
"{ lat: ","36,6833",", lng:","4,2833","},",,,,,"649,0730865412","540,5403148329"
"{ lat: ","35,6911",", lng:","-0,6417","},",,,,,"634,5352341786","209,7762011752"
